"gender","height","weight","shoeSize","schoolYear","pets","siblings","speed","cash","sleep","shoeNums","ageMother","ageFather","random","love","charity"
"female",69,125,9,"Freshman",25,1,90,50,5.5,33,47,50,6,"one",100
"male",76,185,12,"Junior",2,3,105,10,7,12,43,44,3,"few",100
"male",72,160,13,"Sophomore",2,1,117,12,7,10,44,48,8,"one",90
"female",60,150,6.5,"Sophomore",2,2,80,50,7.5,25,54,53,5,"few",50
"female",65,130,7,"Freshman",0,0,70,60,7,7,47,48,9,"one",5
"female",63,120,6.5,"Freshman",0,3,40,42,7,20,35,35,6,"one",100
"male",69,180,11.5,"Freshman",5,2,100,28,8,3,57,57,7,"few",30
"female",61,120,6.5,"Freshman",1,1,100,40,8,20,50,50,3,"few",70
"male",71,145,11,"Freshman",1,1,100,25,8,9,49,52,2,"dozens",25
"male",71,276,10.5,"Sophomore",0,3,110,30,7.5,5,50,55,5,"few",35
"male",73,160,12,"Freshman",4,2,110,31,7.5,6,56,60,9,"few",60
"female",63,107,8.5,"Freshman",4,3,50,2,7,10,54,56,4,"one",50
"female",62,115,6.5,"Sophomore",1,1,90,200,8.5,18,38,45,3,"one",50
"female",67,140,8.5,"Other",0,2,100,60,8,80,56,57,7,"few",20
"male",70,210,11,"Sophomore",4,2,95,400,9.5,21,46,46,2,"thousands",0
"female",65,121,7.5,"Freshman",5,2,115,25,8,34,48,52,5,"few",91
"female",64,105,6,"Other",0,0,20,52,7.5,10,47,48,6,"few",50
"female",63,130,7.5,"Freshman",2,1,85,11,8,15,55,56,4,"dozens",75
"female",60,100,5.5,"Freshman",2,5,90,0,6.5,10,35,37,3,"hundreds",20
"male",74,220,13,"Sophomore",2,2,90,70,6,12,49,51,4,"few",50
"female",61,120,7,"Freshman",3,4,71,5,7,5,45,48,10,"few",45
"male",64,126,7.5,"Sophomore",3,2,65,26,7,3,63,62,2,"one",50
"female",69,130,8,"Freshman",4,2,95,15,7,10,49,52,4,"dozens",10
"female",69,157,9,"Freshman",0,1,77,29,7.5,30,47,45,10,"thousands",100
"female",65,110,7.5,"Freshman",4,2,80,20,9,11,49,49,7,"few",100
"female",62,100,6.5,"Sophomore",2,1,40,65,8,5,50,51,7,"dozens",60
"male",74,150,16.5,"Freshman",1,0,50,32,6,5,47,47,2,"one",50
"female",68,145,8.5,"Freshman",3,1,85,200,8.5,45,60,52,6,"few",50
"male",78,118,8.5,"Freshman",6,0,20,15,5,3,47,47,7,"few",80
"male",67,137,9.5,"Freshman",0,1,100,60,7.5,13,40,43,6,"millions",81
"male",71,137,10,"Freshman",2,3,70,20,9,11,38,46,7,"few",100
"female",61,105,6,"Freshman",3,2,80,20,7.5,15,47,51,9,"few",50
"male",68,155,10,"Freshman",1,2,100,10,6.5,5,46,63,3,"few",50
"male",70,135,10.5,"Freshman",0,1,80,0,6,15,55,54,1,"one",0
"male",72,165,11,"Junior",0,2,49,17,6,7,53,50,5,"millions",10
"female",59,138,5.5,"Freshman",15,2,70,50,8,16,37,45,4,"thousands",50
"female",62,102,7,"Freshman",10,1,100,38,8.5,50,48,50,4,"few",97
"female",66,155,8,"Sophomore",6,2,85,70,9,14,57,64,7,"dozens",20
"female",65,115,4,"Freshman",1,0,85,15,7,4,52,57,3,"dozens",10
"male",68,162,11,"Freshman",7,3,90,6,5,6,42,48,6,"thousands",90
"female",66,140,8.5,"Freshman",0,3,85,20,6.5,5,56,55,7,"few",80
"female",65,175,8,"Freshman",2,1,96,110,8,23,45,44,3,"few",75
"female",64,140,9,"Sophomore",5,3,80,150,7,20,39,45,8,"few",75
"male",72,183,10.5,"Freshman",2,3,85,10,8.5,4,57,65,7,"hundreds",100
"female",62,119,5,"Freshman",2,0,40,130,7,6,47,50,4,"one",4
"female",69,120,10,"Freshman",3,3,85,25,8.5,18,49,51,6,"few",50
"female",65,128,8,"Sophomore",3,2,95,200,8,20,58,60,7,"dozens",75
"female",67,140,8,"Freshman",1,1,100,60,8.5,30,55,55,8,"few",75
"female",65,135,9,"Freshman",1,4,90,0,6,10,37,37,7,"one",25
"male",69,164,7.5,"Freshman",1,3,30,140,7,6,47,46,7,"few",7
"female",72,143,11,"Freshman",7,3,85,75,9,30,48,53,4,"dozens",100
"male",70,180,10.5,"Freshman",0,0,200,1000,7,8,50,49,3,"few",0
"female",61,125,7,"Sophomore",2,2,85,40,8,6,48,50,7,"one",40
"female",65,135,8.5,"Freshman",8,1,80,81,8.5,9,53,57,4,"thousands",0
"female",65,116,8,"Freshman",0,7,20,80,7,30,56,65,3,"few",40
"female",61,145,8.5,"Sophomore",0,3,90,0,7,12,54,57,4,"few",9
"female",62,130,5,"Sophomore",7,4,75,130,9,5,45,62,3,"few",50
"female",60,123,5.5,"Sophomore",1,3,40,10,7,11,52,53,6,"one",100
"female",63,139,8,"Freshman",2,2,50,15,7,2,53,47,9,"few",65
"male",68,125,9,"Senior",1,1,75,40,7,4,56,62,9,"few",50
